,Location,Rate,Count,Year,Region,Subregion
0,Afghanistan ,4.0,1613,2021,Asia,Southern Asia
1,Albania ,1.7,47,2022,Europe,Southern Europe
2,Algeria,1.8,795,2022,Africa,Northern Africa
3,American Samoa,0.0,0,2019,Oceania,Polynesia
4,Andorra,2.6,2,2020,Europe,Southern Europe
5,Angola,4.1,1196,2016,Africa,Sub-Saharan Africa
6,Anguilla,28.3,4,2014,Americas,Latin America and the Caribbean
7,Antigua and Barbuda,10.7,10,2022,Americas,Latin America and the Caribbean
8,Argentina ,4.3,1961,2022,Americas,Latin America and the Caribbean
9,Armenia ,2.2,61,2021,Asia,Western Asia
10,Aruba,1.9,2,2014,Americas,Latin America and the Caribbean
11,Australia ,0.8,218,2022,Oceania,Australia and New Zealand
12,Austria ,0.9,79,2022,Europe,Western Europe
13,Azerbaijan ,1.9,197,2021,Asia,Western Asia
14,Bahamas,31.2,128,2022,Americas,Latin America and the Caribbean
15,Bahrain ,0.1,1,2021,Asia,Western Asia
16,Bangladesh ,2.3,3830,2018,Asia,Southern Asia
17,Barbados,15.3,43,2022,Americas,Latin America and the Caribbean
18,Belarus,2.3,225,2019,Europe,Eastern Europe
19,Belgium ,1.1,125,2021,Europe,Western Europe
20,Belize ,27.9,113,2022,Americas,Latin America and the Caribbean
21,Bermuda,10.9,7,2021,Americas,Northern America
22,Bhutan ,2.5,19,2020,Asia,Southern Asia
23,Bolivia ,4.0,485,2022,Americas,Latin America and the Caribbean
24,Bosnia and Herzegovina,1.1,35,2022,Europe,Southern Europe
25,Botswana,10.5,273,2021,Africa,Sub-Saharan Africa
26,Brazil ,21.3,45562,2021,Americas,Latin America and the Caribbean
27,British Virgin Islands,8.2,2,2006,Americas,Latin America and the Caribbean
28,Brunei,0.5,2,2013,Asia,South-eastern Asia
29,Bulgaria ,1.1,76,2022,Europe,Eastern Europe
30,Burundi,5.8,635,2016,Africa,Sub-Saharan Africa
31,Cape Verde ,6.2,36,2020,Africa,Sub-Saharan Africa
32,Cambodia ,1.8,268,2011,Asia,South-eastern Asia
33,Cameroon,4.5,1202,2020,Africa,Sub-Saharan Africa
34,Canada ,2.3,874,2022,Americas,Northern America
35,Cayman Islands,4.5,3,2020,Americas,Latin America and the Caribbean
36,Chile ,6.7,1322,2022,Americas,Latin America and the Caribbean
37,China ,0.5,7157,2020,Asia,Eastern Asia
38,Colombia ,25.4,13166,2022,Americas,Latin America and the Caribbean
39,Cook Islands,3.5,1,2012,Oceania,Polynesia
40,Costa Rica ,12.8,664,2022,Americas,Latin America and the Caribbean
41,Croatia,0.8,31,2022,Europe,Southern Europe
42,Cuba ,4.4,500,2019,Americas,Latin America and the Caribbean
43,Curaçao,17.1,26,2007,Americas,Latin America and the Caribbean
44,Cyprus,0.6,8,2022,Asia,Western Asia
45,Czech Republic ,0.8,87,2022,Europe,Eastern Europe
46,Denmark ,1.0,58,2022,Europe,Northern Europe
47,Dominica,13.8,10,2021,Americas,Latin America and the Caribbean
48,Dominican Republic ,12.4,1389,2022,Americas,Latin America and the Caribbean
